date,speaker,website,link,story_id,story,story_long,position
04.01,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_proponuye_rozsliduvati_vnesennya_skandalnoyi_popravki_do_derzhbyudzhetu__burbak_n645854,1,«НФ» ініціює розслідування інциденту з внесенням скандальної поправки до бюджету,«Народний фронт» ініціює розслідування інциденту з внесенням скандальної поправки до бюджету,1
04.03,Максим Бурбак,24 канал,http://24tv.ua/burbak_narodniy_front_progolosuye_za_pogodzhenu_z_yes_redaktsiyu_zakonu_pro_elektronni_deklaratsiyi_n664206,21,“НФ” буде голосувати за погоджену з ЄС редакцію закону про електронні декларації,“Народний фронт” буде голосувати за погоджену з ЄС редакцію закону про електронні декларації,1
04.07,Максим Бурбак,24 канал,http://24tv.ua/batkivshhina_mala_b_nareshti_progolosuvati_za_konfiskatsiyu_groshey_yanukovicha_na_potrebi_frontu_n701991,128,"""НФ"" вимагає негайно ухвалити закон про спецконфіскацію","""Народний фронт"" вимагає негайно ухвалити закон про спецконфіскацію",1
04.07,Максим Бурбак,24 канал,http://24tv.ua/burbak_rozpoviv_pro_lobi_yake_prikrivaye_groshi_yanukovicha_u_radi_n702070,129,"У Верховній Раді діє лобі, яке відстоює кошти Януковича","У Верховній Раді діє лобі, яке відстоює кошти Януковича",1
05.01,Максим Бурбак,24 канал,http://24tv.ua/informatsiya_pro_nibito_aresht_u_zhitomiri_chlena_narodnogo_frontu_nepravdiva__zayava_partiyi_n645967,2,"Інформація про нібито арешт у Житомирі члена ""НФ"" неправдива","Інформація про нібито арешт у Житомирі члена ""Народного фронту"" неправдива",1
05.04,Вікторія Сюмар,24 канал,http://24tv.ua/nova_koalitsiyna_ugoda_praktichno_pogodzhena_i_mistit_chitkiy_plan_diy__syumar_n673994,52,Нова коаліційна угода практично погоджена і містить чіткий план дій,Нова коаліційна угода практично погоджена і містить чіткий план дій,1
05.07,Андрій Тетерук,24 канал,http://24tv.ua/onishhenka_krishuvala_odna_z_parlamentskih_fraktsiy__teteruk_n702270,131,"Онищенка ""кришувала"" одна з парламентських фракцій","Онищенка ""кришувала"" одна з парламентських фракцій",1
05.09,Максим Бурбак,24 канал,http://24tv.ua/burbak_u_kerivnikiv_batkivshhini_ta_opobloku_odnakovi_tezi_n722898,169,"У керівників ""Батьківщини"" та Опоблоку однакові тези","У керівників ""Батьківщини"" та Опоблоку однакові тези",1
05.09,Антон Геращенко,24 канал,http://24tv.ua/nardepi_vimagayut_pereviriti_inter_shhodo_separatizmu_n722796,172,"Потрібно з'ясувати, ким насправді керується та фінансується телеканал ""Інтер""","Потрібно з'ясувати, ким насправді керується та фінансується телеканал ""Інтер""",1
07.04,Андрій Іванчук,24 канал,http://24tv.ua/rishennya_yatsenyuka_skasuvati_mito_na_vzhivani_avto_viklikalo_paniku_v_avtolobbistiv__ivanchuk_n674646,53,Рішення Яценюка скасувати мита на вживані авто викликало паніку серед представників автолоббі та російських підприємців,Рішення Яценюка скасувати мита на вживані авто викликало паніку серед представників автолоббі та російських підприємців,1
07.04,Андрій Помазанов,24 канал,http://24tv.ua/initsiativa_yatsenyuka_pro_vidmovu_vid_rosiyskih_naftoproduktiv_duzhe_poslabit_kreml__pomazanov_n674705,54,Ініціатива Яценюка щодо відмови від російських нафтопродуктів суттєво послабить Кремль,Ініціатива Яценюка щодо відмови від російських нафтопродуктів суттєво послабить Кремль,1
07.07,Микола Княжицький,24 канал,http://24tv.ua/priyizd_kerri_zasvidchuye_posilennya_amerikanskoyi_uvagi_do_ukrayini_ta_shidnoyi_yevropi__knyazhitskiy_n702998,132,Приїзд Керрі засвідчує посилення американської уваги до України та Східної Європи,Приїзд Керрі засвідчує посилення американської уваги до України та Східної Європи,1
07.09,Людмила Денісова,24 канал,http://24tv.ua/nf_proponuye_polovinu_groshey_yanukovicha_viddati_armiyi_inshu__pensioneram_i_byudzhetnikam_n723582,174,"""НФ"" пропонує половину грошей Януковича віддати армії, іншу – пенсіонерам і бюджетникам","""Народний фронт"" пропонує половину грошей Януковича віддати армії, іншу – пенсіонерам і бюджетникам",1
09.08,Вікторія Сюмар,24 канал,http://24tv.ua/profilniy_komitet_rozglyane_skandalnu_situatsiyu_z_uzgodzhennyam_syuzhetiv_iz_separatistami__syumar_n713659,152,Профільний комітет на своєму засіданні розгляне скандальну ситуацію з узгодженням сюжетів з сепаратистами на українському телебаченні,Профільний комітет на своєму засіданні розгляне скандальну ситуацію з узгодженням сюжетів з сепаратистами на українському телебаченні,1
10.02,Микола Княжицький,24 канал,http://24tv.ua/rizik_politichnoyi_krizi_ye_duzhe_velikim__deputat_n656678,10,Ризик політичної кризи є дуже великим,Ризик політичної кризи є дуже великим,1
10.03,Максим Бурбак,24 канал,http://24tv.ua/burbak_vid_voli_prezidenta_zalezhit_chi_krayina_prodovzhuye_reformi_chi_staye_na_pauzu_n666202,22,"Від волі Президента залежить, чи країна продовжує реформи, чи стає на паузу","Від волі Президента залежить, чи країна продовжує реформи, чи стає на паузу",1
10.05,Михайло Хміль,24 канал,http://24tv.ua/ukrayina_maye_vsi_shansi_otrimati_chergoviy_transh_mvf_zavdyaki_roboti_uryadu_yatsenyuka__narodniy_deput_n684481,75,Україна має всі шанси отримати черговий транш МВФ завдяки ефективній роботі Уряду Яценюка,Україна має всі шанси отримати черговий транш МВФ завдяки ефективній роботі Уряду Яценюка,1
10.06,Леонід Ємець,24 канал,http://24tv.ua/rishennya_ks_pro_neobmezheni_suddivski_pensiyi_koshtuvatime_ukrayintsyam_desyatkiv_milyoniv_griven_n694691,101,Рішення КС про необмежені суддівські пенсії коштуватиме українцям десятків мільйонів гривень щороку,Рішення КС про необмежені суддівські пенсії коштуватиме українцям десятків мільйонів гривень щороку,1
10.06,Михайло Хміль,24 канал,http://24tv.ua/ukrayina_maye_prodovzhuvati_kurs_yatsenyuka_na_povnu_energonezalezhnist_vid_rosiyi__hmil_n694613,102,"Україна має продовжувати курс Яценюка на повну енергонезалежність від Росії, а не закуповувати в неї газ","Україна має продовжувати курс Яценюка на повну енергонезалежність від Росії, а не закуповувати в неї газ",1
11.04,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_proponuye_u_vivtorok_virishiti_usi_kadrovi_pitannya__burbak_n675725,56,"""НФ"" пропонує у вівторок вирішити усі кадрові питання","""Народний фронт"" пропонує у вівторок вирішити усі кадрові питання",1
11.04,Остап Семерак,24 канал,http://24tv.ua/budemo_slidkuvati_shhob_mriyi_putina_shhodo_ukrayini_ne_zdiysnilis__semerak_n675842,57,"Мрія Путіна про ""нормалізацію"" стосунків з Україною не здійсниться","Ми слідкуватимемо за тим, щоб мрія Путіна про ""нормалізацію"" стосунків з Україною не здійснилася",1
11.07,Арсеній Яценюк,24 канал,http://24tv.ua/yatsenyuk_dlya_vstupu_u_nato_ukrayina_maye_prodovzhiti_reformu_armiyi_ta_borotis_iz_populistami_n704326,137,Для вступу у НАТО Україна має продовжити реформу армії та боротись із популістами,Для вступу у НАТО Україна має продовжити реформу армії та боротись із популістами,1
11.08,Народний фронт,24 канал,http://24tv.ua/na_rosiysku_provokatsiyu_treba_reaguvati_adekvatno_ne_piddayuchis_shantazhu_n714434,153,"На російську провокацію треба реагувати адекватно, не піддаючись шантажу","На російську провокацію треба реагувати адекватно, не піддаючись шантажу",1
12.04,Дмитро Сторожук,24 канал,http://24tv.ua/u_nf_hochut_golosuvati_za_vidstavku_ta_priznachennya_novogo_premyerministra_odniyeyu_postanovoyu_n676146,59,Голосувати за відставку та призначення нового прем'єр-міністра потрібно однією постановою,"""Народний фронт"" пропонує голосувати за відставку та призначення нового прем'єр-міністра однією постановою",1
12.04,Тетяна Чорновол,24 канал,http://24tv.ua/narodniy_front_zaklikaye_pidtrimati_zakonoproekt_dlya_zabezpechennya_potreb_armiyi_n676062,60,"""НФ"" закликає підтримати проект для забезпечення потреб армії, який усуває корупційні ризики","""Народний фронт"" закликає підтримати законопроект для забезпечення потреб армії, який усуває корупційні ризики",1
12.05,Сергій Висоцький,24 канал,http://24tv.ua/obshuki_ta_areshti_krimskih_tatar_u_bahchisarayi__tse_prodovzhennya_rosiyeyu_stalinskih_represiy__nf_n685220,80,Обшуки та арешти кримських татар — це продовження Росією сталінських репресій,Обшуки та арешти кримських татар у Бахчисараї — це продовження Росією сталінських репресій,1
12.07,Максим Бурбак,24 канал,http://24tv.ua/parlament_maye_provesti_ostanniy_sesiyniy_tizhden_maksimalno_efektivno__burbak_n704509,139,Парламент має провести останній сесійний тиждень максимально ефективно,Парламент має провести останній сесійний тиждень максимально ефективно,1
13.04,Андрій Тетерук,24 канал,http://24tv.ua/narodniy_front_viznachivsya_shhodo_golosuvannya_za_noviy_kabmin_n676589,61,«НФ» затвердив своїх кандидатів до нового Уряду,«Народний фронт» затвердив своїх кандидатів до нового Уряду,1
13.04,Дмитро Сторожук,24 канал,http://24tv.ua/prorosiyski_oligarhi_rukami_marionetok_vedut_brudnu_kampaniyu_proti_yatsenyuka__narodniy_front_n676529,62,Проросійські олігархи руками маріонеток ведуть брудну кампанію проти Арсенія Яценюка,Проросійські олігархи руками маріонеток ведуть брудну кампанію проти Арсенія Яценюка,1
13.04,Максим Бурбак,24 канал,http://24tv.ua/golova_narodnogo_frontu_sprostuvav_zayavu_avakova_n676413,63,«НФ» не виходить з переговорного процесу,«Народний фронт» не виходить з переговорного процесу,1
13.04,Олександр Сочка,24 канал,http://24tv.ua/narodniy_front_uzgodiv_vsi_pitannya_shhodo_novogo_uryadu_zatrimka_tilki_za_partnerami__sochka_n676430,64,«НФ» узгодив всі питання щодо нового уряду,«Народний фронт» узгодив всі питання щодо нового уряду,1
13.05,Олег Медуниця,24 канал,http://24tv.ua/timoshenko_hoche_privesti_do_vladi_opozitsiyniy_blok__medunitsya_n685480,81,"Тимошенко добивається дочасних парламентських виборів, аби привести до влади ""Опозиційний блок""","Тимошенко добивається дочасних парламентських виборів, аби привести до влади ""Опозиційний блок""",1
13.06,Андрій Тетерук,24 канал,http://24tv.ua/nf_zaklikaye_sbu_rozibratisya_z_initsiatorami_feykovih_suverenitetiv_v_oblastyah__teteruk_n695464,103,"""НФ"" закликає СБУ розібратися з ініціаторами так званих ""фейкових суверенітетів"" в областях","""Народний фронт"" закликає СБУ розібратися з ініціаторами так званих ""фейкових суверенітетів"" в областях",1
13.09,Народний фронт,24 канал,http://24tv.ua/nf_zaklikaye_prezidenta_vzyati_pid_osobistiy_kontrol_rozsliduvannya_diyalnosti_intera_n725697,177,"""НФ"" закликає Президента взяти під особистий контроль розслідування антиукраїнської діяльності ""Інтера""","""Народний фронт"" закликає Президента взяти під особистий контроль розслідування антиукраїнської діяльності ""Інтера""",1
14.03,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_vimagaye_nevidkladno_priynyati_zakon_pro_povernennya_aktiviv_yanukovicha__burbak_n667061,23,"""НФ"" вимагає невідкладно прийняти закон про повернення активів Януковича","""Народний фронт"" вимагає невідкладно прийняти закон про повернення активів Януковича",1
14.03,Максим Бурбак,24 канал,http://24tv.ua/u_narodnogo_frontu_ye_dva_varianti_vihodu_z_politichnoyi_krizi_n667102,24,"У ""Народного Фронту"" є два варіанти виходу з політичної кризи","У ""Народного Фронту"" є два варіанти виходу з політичної кризи",1
14.03,Народний фронт,24 канал,http://24tv.ua/vihid_z_politichnoyi_krizi_zalezhit_vid_pozitsiyi_poroshenka__zayava_fraktsiyi_narodniy_front_n667208,25,Вихід з політичної кризи залежить від позиції Петра Порошенка,Вихід з політичної кризи залежить від позиції Петра Порошенка,1
14.03,Сергій Пашинський,24 канал,http://24tv.ua/pashinskiy_parlament_maye_povernuti_50_milyardiv_aktiviv_yanukovicha_na_oboronu_ukrayini_n667075,26,Парламент має повернути 50 мільярдів активів Януковича на оборону України,Парламент має повернути 50 мільярдів активів Януковича на оборону України,1
14.04,Андрій Тетерук,24 канал,http://24tv.ua/andriy_teteruk_narodniy_front_kontrolyuvatime_robotu_novogo_uryadu_n676966,65,"""НФ"" контролюватиме роботу нового Уряду","""Народний фронт"" контролюватиме роботу нового Уряду",1
14.04,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_bude_napolyagati_na_prodovzhenni_reform_uryadu_yatsenyuka__burbak_n676837,66,"""НФ"" буде наполягати на продовженні реформ Уряду Арсенія Яценюка","""Народний фронт"" буде наполягати на продовженні реформ Уряду Арсенія Яценюка",1
14.06,Андрій Помазанов,24 канал,http://24tv.ua/tisk_kaplina_na_ukrgazvidobuvannya_zamovleniy_kremlem__pomazanov_n695889,106,Тиск Капліна на «Укргазвидобування» замовлений Кремлем,Тиск Капліна на «Укргазвидобування» замовлений Кремлем,1
14.07,Михайло Хміль,24 канал,http://24tv.ua/vibori_na_donbasi_nemozhlivi_do_povnogo_vikonannya_rosiyeyu_minskih_domovlenostey__hmil_n705292,142,Вибори на Донбасі неможливі до повного виконання Росією Мінських домовленостей,Вибори на Донбасі неможливі до повного виконання Росією Мінських домовленостей,1
15.03,Вікторія Сюмар,24 канал,http://24tv.ua/syumar_lobisti_simyi_yanukovicha_blokuyut_povernennya_vkradenih_nim_koshtiv_do_derzhbyudzhetu_n667616,27,Лобісти «сім`ї» Януковича у парламенті блокують повернення вкрадених ним коштів до Державного бюджету,Лобісти «сім`ї» Януковича у парламенті блокують повернення вкрадених ним коштів до Державного бюджету,1
15.03,Сергій Пашинський,24 канал,http://24tv.ua/zakon_pro_spetskonfiskatsiyu_rozrobili_z_urahuvannyam_dosvidu_bagatoh_krayin_yevropi__pashinskiy_n667437,28,Закон про спецконфіскацію розроблено з урахуванням досвіду понад 20 європейських країн,Закон про спецконфіскацію розроблено з урахуванням досвіду понад 20 європейських країн,1
15.03,Тетяна Чорновол,24 канал,http://24tv.ua/narodniy_front_blokuvatime_tribunu_radi_do_rozglyadu_zakonu_pro_povernennya_groshey_yanukovicha_n667466,29,"""НФ"" блокуватиме трибуну Ради, поки не розглянуть закон про повернення грошей Януковича","""Народний фронт"" блокуватиме трибуну Ради, поки не розглянуть закон про повернення грошей Януковича",1
15.05,Арсеній Яценюк,24 канал,http://24tv.ua/arseniy_yatsenyuk_z_odnopartiytsyami_vshanuvali_pamyat_zhertv_politichnih_represiy_n686201,82,"Арсеній Яценюк, депутати з «НФ» та члени Уряду вшанували пам'ять жертв політичних репресій","Арсеній Яценюк, депутати з «Народного фронту» та члени Уряду вшанували пам'ять жертв політичних репресій",1
15.06,Ігор Гузь,24 канал,http://24tv.ua/ru/nuzhno_ne_dopustit_revansha_regionalov__guz_n696164,108,Потрібно не допустити реваншу регіоналів,Потрібно не допустити реваншу регіоналів,1
15.07,Максим Бурбак,24 канал,http://24tv.ua/nf_vimagaye_vid_nabu_povernuti_groshi_vkradeni_yanukovichem__burbak_n705601,144,"""НФ"" вимагає від НАБУ повернути гроші, вкрадені Януковичем","""Народний фронт"" вимагає від НАБУ повернути гроші, вкрадені Януковичем",1
15.09,Максим Бурбак,24 канал,http://24tv.ua/kampaniya_proti_avakova__tse_naslidok_zhorstkoyi_pozitsiyi_nf_shhodo_borotbi_z_rosiyskoyu_agenturoyu_n726439,180,"Політичні спекуляції проти Авакова – це помста за жорстку позицію ""НФ"" щодо російської агентури в Україні","Політичні спекуляції проти Авакова – це помста за жорстку позицію ""НФ"" щодо російської агентури в Україні",1
16.02,Максим Бурбак,24 канал,http://24tv.ua/burbak_narodniy_front_odnostayno_pidtrimuye_uryad_i_premyerministra_n658708,11,"""НФ"" одностайно підтримує уряд і прем'єр-міністра","""Народний фронт"" одностайно підтримує уряд і прем'єр-міністра",1
16.03,Сергій Пашинський,24 канал,http://24tv.ua/narodniy_front_vimagaye_rozglyanuti_u_chetver_pershim_pitannya_povernennya_milyardiv_yanukovicha_n667826,30,"""НФ"" вимагає розглянути у четвер першим питання повернення $2 мільярдів Януковича","""Народний фронт"" вимагає розглянути у четвер першим питання повернення $2 мільярдів Януковича",1
16.06,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_vimagaye_konfiskuvati_milyardi_yanukovicha_inakshe_yih_vivedut_v_ofshori__burbak_n696682,111,"«НФ» вимагає конфіскувати мільярди Януковича, інакше з них знімуть арешт і виведуть в офшори","«Народний фронт» вимагає конфіскувати мільярди Януковича, інакше з них знімуть арешт і виведуть в офшори",1
16.08,Арсеній Яценюк,24 канал,http://24tv.ua/yatsenyuk_ochikuyemo_shho_ukrayina_otrimaye_transh_mvf_ta_dopomogu_yes_i_ssha_dlya_stabilizatsiyi_ekonomiki_n716135,155,"Очікуємо, що Україна отримає транш МВФ та допомогу ЄС і США для стабілізації економіки","Очікуємо, що Україна отримає транш МВФ та допомогу ЄС і США для стабілізації економіки",1
17.03,Дмитро Сторожук,24 канал,http://24tv.ua/narodniy_front_progolosuye_za_vidstavku_shokina__storozhuk_n668220,31,«НФ» проголосує за відставку Шокіна,«Народний фронт» проголосує за відставку Шокіна,1
17.03,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_domigsya_rozglyadu_zakonoproektu_pro_povernennya_groshey_yanukovicha__burbak_n668233,32,«НФ» домігся розгляду законопроекту про повернення вкрадених Януковичем грошей,«Народний фронт» домігся розгляду законопроекту про повернення вкрадених Януковичем грошей,1
17.05,Євген Дейдей,24 канал,http://24tv.ua/sbu_i_gpu_povinni_rozsliduvati_antiderzhavnu_diyalnist_lovochkina__deydey_n686776,84,СБУ і ГПУ повинні розслідувати антидержавну діяльність Льовочкіна,СБУ і ГПУ повинні розслідувати антидержавну діяльність Льовочкіна,1
17.05,Максим Бурбак,24 канал,http://24tv.ua/vibori_na_donbasi_mozhlivi_lishe_pislya_vikonannya_rosiyeyu_minskih_ugod__burbak_n686684,85,"""НФ"" проти виборів на окупованому Донбасі","""Народний фронт"" проти виборів на окупованому Донбасі",1
17.06,Леонід Ємець,24 канал,http://24tv.ua/narodniy_front_rozroblyaye_zakonoproekt_pro_vidkriti_viborchi_spiski__yemets_n696980,114,"""НФ"" розробляє законопроект про відкриті виборчі списки","""Народний фронт"" розробляє законопроект про відкриті виборчі списки",1
18.02,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_golosuvatime_za_vsi_bezvizovi_zakoni__burbak_n659427,12,"«НФ» заявив, що голосуватиме за всі безвізові закони","«Народний фронт» заявив, що голосуватиме за всі безвізові закони",1
18.03,Максим Бурбак,24 канал,http://24tv.ua/chutkami_pro_vidstavku_yatsenyuka_vidvolikayut_uvagu_vid_provalu_vidstavki_shokina__burbak_n668539,33,Чутками про відставку Яценюка відволікають увагу від провалу відставки Шокіна,Чутками про відставку Яценюка відволікають увагу від провалу відставки Шокіна,1
18.03,Максим Бурбак,24 канал,http://24tv.ua/burbak_zakonoproekt_pro_spetskonfiskatsiyu_stosuyetsya_lishe_koruptsioneriv_n668494,34,"Законопроект про спецконфіскацію стосується лише корупціонерів та чиновників, які уникають слідства","Законопроект про спецконфіскацію стосується лише корупціонерів та чиновників, які уникають слідства",1
18.03,Народний фронт,24 канал,http://24tv.ua/krayina_dosi_ne_pochula_alternativi_ninishnomu_uryadu_pora_viznachatisya__narodniy_front_n668586,36,Країна досі не почула альтернативи нинішньому уряду,Країна досі не почула альтернативи нинішньому уряду,1
18.05,Андрій Іванчук,24 канал,http://24tv.ua/auktsion_maye_sformuvati_adekvatnu_tsinu_dlya_derzhavnih_pidpriyemstv__ivanchuk_n687122,86,Аукціон має сформувати адекватну ціну для державних підприємств,Аукціон має сформувати адекватну ціну для державних підприємств,1
18.05,Максим Бурбак,24 канал,http://24tv.ua/vibori_na_okupovanih_teritoriyah_yaki_hoche_opoblok_ye_politichnim_i_pravovim_nonsensom__teteruk_n687079,88,"""НФ"" вимагає не розділяти питання деокупації Криму і Донбасу","""Народний фронт"" вимагає не розділяти питання деокупації Криму і Донбасу",1
19.02,Павло Пинзеник,24 канал,http://24tv.ua/u_narodnomu_fronti_zapevnyayut_shho_koalitsiya_dosi_isnuye_n659773,13,"У «Народному фронті» запевняють, що коаліція досі існує","У «Народному фронті» запевняють, що коаліція досі існує",1
19.03,Андрій Тетерук,24 канал,http://24tv.ua/iz_priznachennyam_groysmana_poroshenko_skontsentruye_u_svoyih_rukah_maksimalnu_vladu__teteruk_n668792,37,"Якщо Президент і БПП визначилися з кандидатом на посаду Прем’єра, вони чесно повинні сказати про це суспільству","Якщо Президент і його фракція визначилися з кандидатом на посаду Прем’єра, вони чесно повинні сказати про це суспільству",1
19.07,Ігор Жданов,24 канал,http://24tv.ua/mok_maye_vidstoroniti_zbirnu_rosiyi_vid_uchasti_v_olimpiadi__ministr_n706938,145,МОК має відсторонити збірну Росії від участі в Олімпіаді,МОК має відсторонити збірну Росії від участі в Олімпіаді,1
19.08,Народний фронт,24 канал,http://24tv.ua/nf_vimagaye_vid_sbu_rozsliduvati_diyalnist_rosiyskoyi_propagandistki_stolyarovoyi__zayava_n717301,158,"""НФ"" вимагає від СБУ розслідувати діяльність російської пропагандистки Столярової","""Народний фронт"" вимагає від СБУ розслідувати діяльність російської пропагандистки Столярової",1
19.09,Арсеній Яценюк,24 канал,http://24tv.ua/yatsenyuk_nf_zaklikaye_parlament_pidtrimati_zayavu_pro_nelegitimnist_derzhdumi_rf_n727765,181,"Сподіваюся, питання невизнання виборів до Держдуми РФ буде на завтрашньому порядку денному Ради","Сподіваюся, питання невизнання виборів до Держдуми РФ буде на завтрашньому порядку денному Ради",1
19.09,Наталія Кацер-Бучковська,24 канал,http://24tv.ua/u_nf_zaklikayut_uryad_negayno_provesti_zasidannya_zi_svitovim_bankom_i_yebrr_shhodo_ukrtransgazu_n727858,186,У «НФ» закликають Уряд негайно провести спільне засідання зі Світовим банком і ЄБРР щодо «Укртрансгазу»,У «Народному фронті» закликають Уряд негайно провести спільне засідання зі Світовим банком і ЄБРР щодо «Укртрансгазу»,1
20.05,Леонід Ємець,24 канал,http://24tv.ua/sudova_reforma_maye_skasuvati_spetsializovani_sudi_i_provesti_efektivnu_pereatestatsiyu_suddiv__nf_n687822,91,Судова реформа має скасувати спеціалізовані суди та провести ефективну переатестацію суддів,Судова реформа має скасувати спеціалізовані суди та провести ефективну переатестацію суддів,1
21.03,Вікторія Сюмар,24 канал,http://24tv.ua/tse_bazhannya_vichno_unikati_vidpovidalnosti__syumar_pro_pozitsiyu_bpp_u_pitanni_premyerstva_n669356,38,"Заяви Луценка про те, що фракція «НФ» не підтримує «уряд реформаторів», є абсолютною дезінформацією","Заяви Юрія Луценка про те, що фракція «Народний фронт» не підтримує «уряд реформаторів», є абсолютною дезінформацією",1
21.06,Ігор Лапін,24 канал,http://24tv.ua/obshuki_y_areshti_mayut_nareshti_zachepiti_diyuchih_deputativregionaliv__lapin_n698058,115,Обшуки й арешти мають нарешті зачепити діючих депутатів-регіоналів,Обшуки й арешти мають нарешті зачепити діючих депутатів-регіоналів,1
21.09,Максим Бурбак,24 канал,http://24tv.ua/burbak_rozpoviv_pro_golovne_zavdannya_prezidenta_na_genasambleyi_oon_n728900,188,Головне завдання Президента на Генасамблеї ООН - використати всі можливості для захисту України й тиску на Росію,Головне завдання Президента на Генасамблеї ООН - використати всі можливості для захисту України й тиску на Росію,1
21.09,Леонід Ємець,24 канал,http://24tv.ua/noviy_zakon_pro_spetskonfiskatsiyu_rozroblyali_spilno_uryad_i_narodni_deputati__yemets_n728638,189,Новий закон про спецконфіскацію розробляли спільно Уряд і народні депутати,Новий закон про спецконфіскацію розробляли спільно Уряд і народні депутати,1
22.01,Максим Бурбак,24 канал,http://24tv.ua/informatsiya_pro_nibito_aresht_u_zhitomiri_chlena_narodnogo_frontu_nepravdiva__zayava_partiyi_n645967,2,"Інформація про нібито арешт у Житомирі члена ""НФ"" неправдива","Інформація про нібито арешт у Житомирі члена ""Народного фронту"" неправдива",1
22.02,Андрій Тетерук,24 канал,http://24tv.ua/teteruk_pro_pozitsiyu_timoshenko_bezvidpovidalnist_politikiv_mozhe_koshtuvati_ukrayini_derzhavnosti_n660721,14,Безвідповідальність політиків може коштувати Україні державності,Безвідповідальність політиків може коштувати Україні державності,1
22.06,Георгій Логвинський,24 канал,http://24tv.ua/ukrayinski_spetssluzhbi_mayut_vzhiti_zahodiv_do_rosiyskih_provokatoriv_iz_ssha__logvinskiy_n698384,117,Українські спецслужби мають вжити заходів до російських провокаторів із США,Українські спецслужби мають вжити заходів до російських провокаторів із США,1
